Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
Χριστὸς ἐμοῖς καμάτοισιν ἀρηγόνα χεῖρα τιταίνοι.,Χρισ#τὸς ἐ#μοῖς κα#μά#τοι#σιν ἀ#ρη#γό#να χεῖ#ρα τι#ταί#νοι.,,29,3,hex,DDDDDS,,,,5F,,,1F,3M,5F,,,,,1,,1,2,3,,,,,2 5 6
"Χριστέ, σύ μοι προΐαλλε τεὴν πολύολβον ἀρωγήν.","Χρισ#τέ, σύ μοι προ#ΐ#αλ#λε τε#ὴν πο#λύ#ολ#βον ἀ#ρω#γήν.",,29,4,hex,DDDDDS,,1F,,5F,,,1F,3M,5F,,1,,,,,1,1,3,,,,,4
"Χριστέ, τεὴν καμάτοισιν ἐμοῖς χάριν αὐτὸς ὀπάζοις.","Χρισ#τέ, τε#ὴν κα#μά#τοι#σιν ἐ#μοῖς χά#ριν αὐ#τὸς ὀ#πά#ζοις.",,29,5,hex,DDDDDS,,1F,,,,B,1F,3M,5F,7M,,,,1,,1,2,2,,,,,2 4 6
"Χριστὲ μάκαρ, μερόπων φάος ἄφθιτον, ἐλπὶς ἁπάντων,","Χρισ#τὲ μά#καρ, με#ρό#πων φά#ος ἄφ#θι#τον, ἐλ#πὶς ἁ#πάν#των,",,30,1,hex,DDDDDS,,,3M,,,B,1F,3M,5M,,,,1,1,,2,2,"2, 3",,,,,4 6
"ἐσθλὰ δίδου χατέουσι, τὰ δ' οὐ καλὰ νόσφιν ἐρύκοις.","ἐσ#θλὰ δί#δου χα#τέ#ου#σι, τὰ δ' οὐ κα#λὰ νόσ#φιν ἐ#ρύ#κοις.",,30,2,hex,DDDDDS,,,,5F,,,1F,3M,5F,,,,1,1,,2,2,3,,,,,5 6
"Παμμεδέοντα, ἄνασσα, θεοῖο γόνον, τεόν υἱόν,","Παμ#με#δέ#ον#τα, ἄ#νασ#σα, θε#οῖ#ο γό#νον, τε#όν υἱ#όν,",,31,1,hex,DDDDDT,,,3F,5F,,,,3F,5F,7F,,,,,1,1,1,"3, 3",M,H,,,4
"ἄγγελοι ὃν τρομέουσι, τεῇς παλάμῃσι κρατοῦσα,","ἄγ#γε#λοι ὃν τρο#μέ#ου#σι, τε#ῇς πα#λά#μῃ#σι κρα#τοῦ#σα,",,31,2,hex,DDDDDT,,,,5F,,,,3M,5F,7M,1,,,,,1,5,3,,,,,1 2 4 6
"πρευμενέα πραπίδεσσιν ὑπὲρ μερόπων τελέουσα,","πρευ#με#νέ#α πρα#πί#δεσ#σιν ὑ#πὲρ με#ρό#πων τε#λέ#ου#σα,",,31,3,hex,DDDDDT,,,,5F,,,,3M,5F,,,,,,,0,3,3,,,,,4
ῥύεο συντηροῦσα ἀπήμονα κόσμον ἅπαντα.,ῥύ#ε#ο συν#τη#ροῦ#σα ἀ#πή#μο#να κόσ#μον ἅ#παν#τα.,,31,4,hex,DSDDDT,,,,,,B,1F,,5F,,1,,,1,,2,3,3,,,,,1 3 4 5
"Ὥδε ταλαιπαθέων χραισμήϊα θέσκελα κεῖται,","Ὥ#δε τα#λαι#πα#θέ#ων χραισ#μή#ϊ#α θέσ#κε#λα κεῖ#ται,",,32,1,distih,DDSDDS,,,,5M,,,1F,,5M,,,,,1,1,2,5,2,,,,,1 4 5 6
καὶ γὰρ ἀνιάζουσα πόνων φύσις αὐτίκα φεύγει,καὶ γὰρ ἀ#νι#ά#ζου#σα πό#νων φύ#σις αὐ#τί#κα φεύ#γει,,32,3,distih,DSDDDS,,,,5F,,,"1M, 1F",,5F,7M,,,,1,1,2,2,3,,,,,1 6
Ὡς θρασὺ μορφῶσαι τὸν ἀσώματον. Ἀλλὰ καὶ εἰκὼν,Ὡς θρα#σὺ μορ#φῶ#σαι τὸν ἀ#σώ#μα#τον. Ἀλ#λὰ καὶ εἰ#κὼν,,33,1,distih,DSDDDS,,,,,,B,1M,,5M,,1,,,1,1,3,1,3,,,,,4
"Ἄσκοπον ἀγγελίαρχον, ἀσώματον εἴδεϊ μορφῆς ‒","Ἄσ#κο#πον ἀγ#γε#λί#αρ#χον, ἀ#σώ#μα#τον εἴ#δε#ϊ μορ#φῆς –",,34,1,distih,DDDDDS,,,,,,B,,,5F,,1,,,1,1,3,4,3,,,,,1 4 5 
"Ἔμπης οὐκ ἀχάριστον, ἐπεὶ βροτὸς εἰκόνα λεύσσων","Ἔμ#πης οὐκ ἀ#χά#ρισ#τον, ἐ#πεὶ βρο#τὸς εἰ#κό#να λεύσ#σων",,34,3,distih,SDDDDS,,,,5F,,,,,5F,,1,,,1,1,3,2,3,,,,,1 4 6
"οὐκέτι δ' ἀλλοπρόσαλλον ἔχει σέβας, ἀλλ' ἐν ἑαυτῷ","οὐ#κέ#τι δ' ἀλ#λο#πρό#σαλ#λον ἔ#χει σέ#βας, ἀλ#λ' ἐν ἑ#αυ#τῷ",,34,5,distih,DDDDDS,,,,,,B,,,5F,7M,1,,,1,,2,4,2,,,,,
ὄμματα δ' ὀτρύνουσι βαθὺν νόον· οἶδε δὲ τέχνη,ὄμ#μα#τα δ' ὀτ#ρύ#νου#σι βα#θὺν νό#ον· οἶ#δε δὲ τέχ#νη,,34,7,distih,DSDDDS,,,,,,B,,,5F,7M,1,,,1,1,3,2,2,,,,,1  4 5 6
"Καρικὸς Αἰμιλιανὸς Ἰωάννης τε σὺν αὐτῷ,","Κα#ρι#κὸς Αἰ#μι#λι#α#νὸς Ἰ#ω#άν#νης τε σὺν αὐ#τῷ,",,35,1,distih,DDDSDS,,,,5F,,,,,5F,,1,,,,1,2,4,1,,,,,
"τέτρατον, ἀγγελίαρχε, νόμων λυκάβαντα λαχόντες","τέτ#ρα#τον, ἀγ#γε#λί#αρ#χε, νό#μων λυ#κά#βαν#τα λα#χόν#τες",,35,3,distih,DDDDDT,,,,5F,,,,,5F,7M,1,,,,,1,2,3,,,,,1  6
αἰτοῦντες τὸν ἔπειτα καλὸν χρόνον. Ἀλλὰ φανείης,αἰ#τοῦν#τες τὸν ἔ#πει#τα κα#λὸν χρό#νον. Ἀλ#λὰ φα#νεί#ης,,35,5,distih,SDDDDS,,,,,,B,,3M,5F,7M,,,,1,,1,2,2,M?,,,,4 6
"Ἵλαθι μορφωθείς, ἀρχάγγελε. Σὴ γὰρ ὀπωπὴ","Ἵ#λα#θι μορ#φω#θείς, ἀρ#χάγ#γε#λε. Σὴ γὰρ ὀ#πω#πὴ",,36,1,distih,DSSDDS,,,,5M,,B,,,5M,,1,,,1,,2,1,"1, 3",,,,,1 3 4 5
Ἐκ σέο γὰρ Θεόδωρος ἔχει ζωστῆρα μαγίστρου,Ἐκ σέ#ο γὰρ Θε#ό#δω#ρος ἔ#χει ζωσ#τῆ#ρα μα#γίσ#τρου,,36,3,distih,DDDSDS,,,3M,,7M,,1M,3M,5F,7M,1,,,,,1,2,"1, 2",,,,,2 5 6
Τῆς δ' εὐγνωμοσύνης μάρτυς γραφίς· ὑμετέρην γὰρ,Τῆς δ' εὐγ#νω#μο#σύ#νης μάρ#τυς γρα#φίς· ὑ#με#τέ#ρην γὰρ,,36,5,distih,SDSDDS,,,,,,B,1M,,5M,7M,,,,1,,1,3,1,,,,,1
"Σάλπιγγες, στεροπαί, γαῖα τρέμει· ἀλλ' ἐπὶ μήτρην","Σάλ#πιγ#γες, στε#ρο#παί, γαῖ#α τρέ#μει· ἀλ#λ' ἐ#πὶ μή#τρην",,37,1,distih,SDSDDS,,,3M,5M,,B,,3M,5M,7M,,,,1,1,2,2,"3, 1, 2",,,,,1 3 6
"Oὐρανὸς ἡ φάτνη, καὶ οὐρανοῦ ἔπλετο μείζων·","Oὐ#ρα#νὸς ἡ φάτ#νη, καὶ οὐ#ρα#νοῦ ἔπ#λε#το μεί#ζων·",,38,1,distih,DSSDDS,,,,5M,,,,,5M,,1,,1,1,1,4,2,2,,,,,5 6
"Εἷς χορός, ἓν μέλος ἀνθρώποισι καὶ ἀγγελιώταις,","Εἷς χο#ρός, ἓν μέ#λος ἀν#θρώ#ποι#σι καὶ ἀγ#γε#λι#ώ#ταις,",,39,1,distih,DDSDDS,,,,,,,1M,3M,,7F,1,1,,1,,3,2,,,H,,,1 2 6
"Οὐρανὸς ἡ φάτνη, καὶ οὐρανοῦ ἔπλετο μείζων, ","Οὐ#ρα#νὸς ἡ φάτ#νη, καὶ οὐ#ρα#νοῦ ἔπ#λε#το μεί#ζων, ",,40,1,hex,DSSDDS,,,,5M,,,,,5M,,1,,1,1,1,4,2,2,,,,,5 6
οὕνεκεν ὅνπερ ἔδεκτο ἄναξ πέλεν οὐρανιώνων.,οὕ#νε#κεν ὅν#περ ἔ#δεκ#το ἄ#ναξ πέ#λεν οὐ#ρα#νι#ών#ων.,,40,2,hex,DDDDDS,,,,5F,,,,3F,5F,7M,1,,,1,,2,2,3,M,,,,1 2 6
Οὐκέτι δῶρ' ἀνάγουσι μάγοι πυρὶ ἠελίῳ τε· ,Οὐ#κέ#τι δῶ#ρ' ἀ#νά#γου#σι μά#γοι πυ#ρὶ ἠ#ε#λί#ῳ τε· ,,41,1,hex,DDDDDT,,,,,7M,,,,5F,7M,1,,,1,,2,3,2,,,,,2
"ἠέλιον γὰρ ἔτευξε τόδε βρέφος, ὡς πυρὸς αὐγάς.","ἠ#έ#λι#ον γὰρ ἔ#τευ#ξε τό#δε βρέ#φος, ὡς πυ#ρὸς αὐ#γάς.",,41,2,hex,DDDDDS,,,,,,B,,3F,5F,7M,,,,1,1,2,1,2,M,,,,
"Δέχνυσο, Βηθλεέμ, ὃν προέειπε προφήτης ἐσθλὸς ","Δέχ#νυ#σο, Βηθ#λε#έμ, ὃν προ#έ#ει#πε προ#φή#της ἐσ#θλὸς ",,42,1,hex,DDDDST,,,,,,,,,5M,7F,1,1,,,1,3,1,,,H,,,1 3 5
ἵξεσθαι λαῶν ἡγούμενον ἐκ σοῦ ἁπάντων.,ἵ#ξεσ#θαι λα#ῶν ἡ#γού#με#νον ἐκ σοῦ ἁ#πάν#των.,,42,2,hex,SSSDDS,,,,,,B,,3M,5M,,,,,1,,1,2,3,,,,,1 3 4 6
"Τίπτε, Ῥαχήλ, γοόωσα πικρὸν κατὰ δάκρυον εἴβεις;","Τίπ#τε, Ῥα#χήλ, γο#ό#ω#σα πι#κρὸν κα#τὰ δάκ#ρυ#ον εἴ#βεις;","Τίπτε, Ῥαχήλ, γόωσα πικρὸν κατὰ δάκρυον εἴβεις;",43,1,hex,DDDDDS,DTDDDS,1F,3M,,,,1F,3M,5F,7M,,,,1,1,2,2,1,,,,,1 2 4 5 6
Ὀλλυμένην ὁρόωσα γονὴν κατὰ δάκρυον εἴβω.,Ὀλ#λυ#μέ#νην ὁ#ρό#ω#σα γο#νὴν κα#τὰ δάκ#ρυ#ον εἴ#βω.,,43,2,hex,DDDDDS,,,,,7M,,,3M,5F,7M,,,,1,1,2,2,1,,,,,4 5 6
"Χαῖρε, κόρη χαρίεσσα, μακαρτάτη, ἄφθορε νύμφη· ","Χαῖ#ρε, κό#ρη χα#ρί#εσ#σα, μα#καρ#τά#τη, ἄφ#θο#ρε νύμ#φη· ",,44,1,hex,DDDDDS,,,,5F,,B,1F,3M,5F,,,,,1,1,2,2,"3, 2",,,,,1 5 6
υἷα θεοῦ λαγόνεσσιν ἄτερ πατρὸς ἔμβρυον ἕξεις.,υἷ#α θε#οῦ λα#γό#νεσ#σιν ἄ#τερ πατ#ρὸς ἔμ#βρυ#ον ἕ#ξεις.,,44,2,hex,DDDDDS,,,,5F,,,1F,3M,5F,,,,,1,1,2,2,3,,,,,1 2 5 6
Ἔνδοθι γαστρὸς ἐὼν σκιρτήμασιν εἶπε προφήτης ,Ἔν#δο#θι γασ#τρὸς ἐ#ὼν σκιρ#τή#μα#σιν εἶ#πε προ#φή#της ,,45,1,hex,DDSDDS,,,,5M,,,,3F,5M,,1,,,1,,2,2,1,M,,,,1 3 4 5 6
"σὸν γόνον ὡς θεός ἐστι, καὶ ᾔνεσε πότνια μήτηρ.","σὸν γό#νον ὡς θε#ός ἐσ#τι, καὶ ᾔ#νε#σε πότ#νι#α μή#τηρ.",,45,2,hex,DDDDDS,,,,5F,,,1M,3M,5F,,1,1,1,1,1,5,2,3,,,,,1 4 5 6
"Πρεσβύτα, παῖδα δέχοιο, Ἀδὰμ προγενέστερον ὄντα, ","Πρεσ#βύ#τα, παῖ#δα δέ#χοι#ο, Ἀ#δὰμ προ#γε#νέσ#τε#ρον ὄν#τα, ",,46,1,hex,DDDDDT,,,,5F,,,,3F,5F,7M,1,,,,1,2,2,3,M,,,,2 4 5 6
ὅς σε βίου λύσει τε καὶ ἐς βίον ἄφθιτον ἄξει.,ὅς σε βί#ου λύ#σει τε καὶ ἐς βί#ον ἄφ#θι#τον ἄ#ξει.,,46,2,hex,DSDDDS,,,,5F,,,,3M,5F,,,,1,1,1,3,2,3,,,,,1 5 6
"Πατρὸς ἀπ' ἀθανάτοιο μέγα σθένος ἤλυθε πνεῦμα, ","Πατ#ρὸς ἀ#π' ἀ#θα#νά#τοι#ο μέ#γα σθέ#νος ἤ#λυ#θε πνεῦ#μα, ",,47,1,hex,DDDDDT,,,,5F,,,1F,,5F,7M,,,,1,1,2,5,3,,,,,5 6
υἱὸς ἐπεὶ βαπτίζετ' Ἰορδάνου ἀμφὶ ῥέεθρα.,υἱ#ὸς ἐ#πεὶ βαπ#τί#ζε#τ' Ἰ#ορ#δά#νου ἀμ#φὶ ῥέ#ε#θρα.,,47,2,hex,DSDDDT,,,,5F,,,1F,3M,5F,,,,,1,,1,3,2,,,,,2 3 
Ἀδὰμ <ἐν> ἦν ζο<φερῷ>..... ,Ἀ#δὰμ <ἐν> ἦν ζο<#φε#ρῷ>..... ,,48,1,hex?,DD...,,,,,,,1F,,,,,,,,,0,,,,,,,2 3...
"Χριστὸς ἔφη· „Πρόμολ' ὧδε“, καὶ ἔλλιπε Λάζαρος ᾅδην,","Χρισ#τὸς ἔ#φη· „Πρό#μο#λ' ὧ#δε“, καὶ ἔλ#λι#πε Λά#ζα#ρος ᾅ#δην,",,49,1,hex,DDDDDS,,,3M,5F,,,1F,3M,5F,,,,1,1,1,3,2,"2, 5",,,,,3 4 5 6
αὐαλέῳ μυκτῆρι παλίνσοον ἆσθμα κομίζων.,αὐ#α#λέ#ῳ μυκ#τῆ#ρι πα#λίν#σο#ον ἆσ#θμα κο#μί#ζων.,,49,2,hex,DSDDDS,,,,5F,,,,3M,5F,,,,,1,,1,2,5,,,,,3 4 5  6
"Ψυχὴν αὐτὸς ἔτευξε, δέμας μόρφωσεν ὁ αὐτός· ","Ψυ#χὴν αὐ#τὸς ἔ#τευ#ξε, δέ#μας μόρ#φω#σεν ὁ αὐ#τός· ",,50,1,distih,SDDSDT,,,,5F,,,,3F,5F,7M,1,,,,1,2,1,3,M,,,,
"Τέτρατον ἦμαρ ἔην, καὶ Λάζαρος ἔγρετο τύμβου.","Τέτ#ρα#τον ἦ#μαρ ἔ#ην, καὶ Λά#ζα#ρος ἔγ#ρε#το τύμ#βου.",,51,1,hex,DDSDDS,,,,5M,,,,3F,5M,,1,,1,1,1,4,2,2,M,,,,1 2 4 5 6
"Χαῖρε, Σιὼν θύγατερ, καὶ δέρκεο Χριστὸν ἄνακτα ","Χαῖ#ρε, Σι#ὼν θύ#γα#τερ, καὶ δέρ#κε#ο Χρισ#τὸν ἄ#νακ#τα ",,52,1,hex,DDSDDT,,1F,,5M,,,1F,3M,5M,,,,1,1,,2,3,3,,,,,1 2 4 
πώλῳ ἐφεζόμενον καὶ ἐς πάθος αἶψα κιόντα.,πώ#λῳ ἐ#φε#ζό#με#νον καὶ ἐς πά#θος αἶ#ψα κι#όν#τα.,,52,2,hex,DDSDDT,,,,5M,,,1F,,5M,,,,1,1,,2,2,3,,,,,1 5 6
Ἀμνὸν ἔπαυσε νόμου καὶ ἄμβροτον ὤπασε θῦμα,Ἀμ#νὸν ἔ#παυ#σε νό#μου καὶ ἄμ#βρο#τον ὤ#πα#σε θῦ#μα,,53,1,distih,DDSDDT,,,,5M,,,1F,3F,5M,,,,1,1,1,3,5,2,M,,,,4 5 6
"Ὦ, πάθος, ὦ, σταυρός, παθέων ἐλατήριον αἷμα,","Ὦ, πά#θος, ὦ, σταυ#ρός, πα#θέ#ων ἐ#λα#τή#ρι#ον αἷ#μα,","Ὦ, πάθος, ὦ, σταυρός, παθῶν ἐλατήριον αἷμα,",54,1,distih,DSDDDT,DSTDDT,,,5M,,,1M,3M,5M,7M,1,,,,1,2,5,1,,,,,1 2 3 5 6
"Παρθένου υἱὸν ἔφη τὸν παρθένον, ἄλλον ἑαυτόν. ","Παρ#θέ#νου υἱ#ὸν ἔ#φη τὸν παρ#θέ#νον, ἄλ#λον ἑ#αυ#τόν. ",,55,1,distih,DDSDDT,,,,,,B,,3F,5M,,1,,1,1,,3,1,2,M?,,,,5
Χριστὸς ἐὼν θεὸς εἷλε νέκυς ἐξ ᾅδου πάντας·,Χρισ#τὸς ἐ#ὼν θε#ὸς εἷ#λε νέ#κυς ἐξ ᾅ#δου πάν#τας·,,56,1,hex,DDDSST,,,,5F,,,1F,3M,5F,7M,,1,,1,1,3,2,5,,,N?,,2 3 5 6
μοῦνον δὲ βροτολοιγὸν ἀκήριον ἔλλιπεν ᾍδην.,μοῦ#νον δὲ βρο#το#λοι#γὸν ἀ#κή#ρι#ον ἔλ#λι#πεν ᾍ#δην.,,56,2,hex,SDDDDS,,,,5F,,,,3M,5F,,1,,,1,1,3,2,1,,,,,1 2 4 5 6 
Ψυχῆς ἐν φλιῇσιν ἐμῆς σωτήριον αἷμα ,Ψυ#χῆς ἐν φλι#ῇ#σιν ἐ#μῆς σω#τή#ρι#ον αἷ#μα ,,57,1,distih,SSDSDT,,,,,7M,,,,5F,7M,1,,,,1,2,5,4,,,,,3 4 5 6
"Εἷς πόκος ὄμβρον ἔχει, λεκάνῃ δρόσον ὤπασεν αὐτός·","Εἷς πό#κος ὄμ#βρον ἔ#χει, λε#κά#νῃ δρό#σον ὤ#πα#σεν αὐ#τός·",,58,1,distih,DDDDDT,,,,5M,,,1M,,5M,7M,1,,,1,1,3,1,2,M,,,,1 2 5
Αἰγυπτίη κρύφιόν τε βρέφος καὶ ἐγγύθεν ὕδωρ·,Αἰ#γυπ#τί#η κρύ#φι#όν τε βρέ#φος καὶ ἐγ#γύ#θεν ὕ#δωρ·,,59,1,distih,DDDSDS,,,3M,,7M,,,3M,5F,7M,,,,1,1,2,2,"2, 2",,,N?,,3 6
"Σταυροφανῶς τανύεις παλάμας τίνος εἵνεκα, Μωσῆ;","Σταυ#ρο#φα#νῶς τα#νύ#εις πα#λά#μας τί#νος εἵ#νε#κα, Μω#σῆ;",,60,1,distih,DDDDDS,,,,,7M,,,3M,5M,7M,,,,1,1,2,4,2,,,,,2 5
"Ῥύεο σὴν ἐθνικὴν νύμφην παρὰ ὕδασι, Μωσῆ,","Ῥύ#ε#ο σὴν ἐθ#νι#κὴν νύμ#φην πα#ρὰ ὕ#δα#σι, Μω#σῆ,",,61,1,distih,DDSDDS,,,,,7M,,,3M,5M,7M,1,,,1,1,3,4,2,,,,,1 2 3 5
"Λάρνακι χρυσείῃ ῥόος εἴκαθεν· ἵλαθι, Χριστέ,","Λάρ#να#κι χρυ#σεί#ῃ ῥό#ος εἴ#κα#θεν· ἵ#λα#θι, Χρισ#τέ,",,62,1,distih,DSDDDT,,,,5M,,B,,,5M,,1,,1,1,1,4,1,"2, 3",,,,,1 4 5
Ἐξ ἐθνῶν καὶ Ἄγαρ. Τί δὲ ἄγγελος; Ἢ τί τὸ ὕδωρ;,Ἐξ ἐθ#νῶν καὶ Ἄ#γαρ. Τί δὲ ἄγ#γε#λος; Ἢ τί τὸ ὕ#δωρ;,,63,1,distih,SDDDDS,,,,5M,,B,1M,3M,5M,,,,1,1,1,3,2,"2, 3",M?,,,,2 4 5 6
"Ἑπτάκι τοὺς δέκα φοίνικας, δυοκαίδεκα πηγὰς","Ἑπ#τά#κι τοὺς δέ#κα φοί#νι#κας, δυ#ο#καί#δε#κα πη#γὰς",,64,1,distih,DDSDDS,,,,,7M,,,,,7M,1,1,,,1,3,1,3,,,,,2 3 5
Ἀβραὰμ υἱὸν ἄγει θυσίην θεῷ· ἵλαθι· ποίην ,Ἀβ#ρα#ὰμ υἱ#ὸν ἄ#γει θυ#σί#ην θε#ῷ· ἵ#λα#θι· ποί#ην ,,65,1,distih,DDDDDS,,,,,,B,,3F,5M,7M,1,,,1,1,3,2,4,M,,,,5 6
"Μελχισεδὲκ βασιλεῦ, ἱερεῦ, ἄρτους τε καὶ οἶνον","― Μελ#χι#σε#δὲκ βα#σι#λεῦ, ἱ#ε#ρεῦ, ἄρ#τους τε καὶ οἶ#νον",,66,1,distih,DDDSDT,,,3M,5M,7M,,,3M,5M,7M,,,,,1,1,5,"1, 4, 4",,,,,2 3 4 6
Μορφὴν ἐνθάδε μοῦνον ἔχει θεός· ὕστερον αὖτε,Μορ#φὴν ἐν#θά#δε μοῦ#νον ἔ#χει θε#ός· ὕσ#τε#ρον αὖ#τε,Μορφὴν ἐνθάδε μoύνην ἔχει θεός· ὕστερον αὖτε,67,1,distih,SDDDDT,SDAbaccDDT,,,,,B,,,5F,7M,1,1,,1,1,4,5,1,,,,,3 5 6
"Πνοιὴν μὲν διὰ πνεῦμα, δέρας δὲ λάχον διὰ γράμμα·","Πνοι#ὴν μὲν δι#ὰ πνεῦ#μα, δέ#ρας δὲ λά#χον δι#ὰ γράμ#μα·",,68,1,distih,SDDDDT,,,,5F,,,,3M,5F,7F,1,1,,,1,3,2,5,,H,,,2 3 6
"Νυμφίε μουνογενές, νύμφη ἐθνική σε φιλοῦσα","Νυμ#φί#ε μου#νο#γε#νές, νύμ#φη ἐθ#νι#κή σε φι#λοῦ#σα",,69,1,distih,DDSDDT,,,,5M,,,,,5M,7M,1,,,,,1,5,1,,,,,3 5 6
"Τηλόθεν οὐχ ὑδάτων μνηστεύετο πότνα Ῥεβέκκα,","Τη#λό#θεν οὐχ ὑ#δά#των μνησ#τεύ#ε#το πότ#να Ῥε#βέκ#κα,",,70,1,distih,DDSDDS,,,,5M,,,,,5M,,1,,,1,,2,2,2,,,,,4 5 6
"Εὐχὴ Ἐλισσαίου, Σωμανίτι, δὶς πόρεν υἱόν, ","Εὐ#χὴ Ἐ#λισ#σαί#ου, Σω#μα#νί#τι, δὶς πό#ρεν υἱ#όν, ",,71,1,distih,DSSDDT,,,,5M,,B,1F,,5M,,,,,1,1,2,1,2,,,,,5 
Τοῦτο δέρας προλέγει ἀμνὸν θεοῦ εἵνεκα πάντων,Τοῦ#το δέ#ρας προ#λέ#γει ἀμ#νὸν θε#οῦ εἵ#νε#κα πάν#των,,72,1,distih,DDSDDS,,,,,,B,1F,3M,5M,7M,,,,1,1,2,2,4,,,,,1 4 5 6 
Ἐν νῷ ἔχων πέφρικα πατὴρ τίνος ἔκλυε Δαβὶδ ,Ἐν νῷ ἔ#χων πέφ#ρι#κα πα#τὴρ τί#νος ἔκ#λυ#ε Δα#βὶδ ,,73,1,distih,DSDDDS,,,,5M,,,"1M, 1F",3M,5F,7M,,,,1,1,2,1,2,,,,,4 5
Οὔνομα τῇ πηγῇ Ἐσταλμένος· ἀλλὰ τίς ἐκ τοῦ ,Οὔ#νο#μα τῇ πη#γῇ Ἐσ#ταλ#μέ#νος· ἀλ#λὰ τίς ἐκ τοῦ ,,74,1,distih,DSSDDS,,,,,,B,,,5M,,1,,,1,1,3,4,2,,,,,1 2 3 
"Οὐ τύπος, ἀλλὰ θεὸς καὶ νυμφίος ἐνθάδε νύμφην","Οὐ τύ#πος, ἀλ#λὰ θε#ὸς καὶ νυμ#φί#ος ἐν#θά#δε νύμ#φην",,75,1,distih,DDSDDS,,,,,,B,1M,,5M,,1,,1,1,1,4,2,2,M,,,,3 6
Τεῦξε μὲν ἀτρεκέως οἶνον θεός· ὅσσα δὲ κρυπτὰ,Τεῦ#ξε μὲν ἀ#τρε#κέ#ως οἶ#νον θε#ός· ὅσ#σα δὲ κρυπ#τὰ,,76,1,distih,DDSDDT,,,,,,B,1F,,5M,7M,1,,,1,1,3,1,1,,,,,1 5
"Βλύζει ἐλαιηρὴ κάλπις καὶ κίστη ἀλεύρου,","Βλύ#ζει ἐ#λαι#η#ρὴ κάλ#πις καὶ κίσ#τη ἀ#λεύ#ρου,","Βλύζει λαιψηρὴ κάλπις καὶ κίστη ἀλεύρου,",77,1,distih,DSSSDS,SSSSAbaccS,,,,7M,,1F,,5M,7M,,,,1,,1,2,2,,,N?,,1 3 5 6
"Πάντων ἀρχιερεὺς Πέτρος θεοῦ ἀρχιερήων, ","Πάν#των ἀρ#χι#ε#ρεὺς Πέτ#ρος θε#οῦ ἀρ#χι#ε#ρή#ων, ",,78,1,distih,SDSDDS,,,,,7M,,,,5M,7M,1,,,1,,2,2,2,,,,,1 3 6
"Παῦλος, ἐπεὶ θεῖον σέλας οὐρανοῦ ἔδρακεν ἄντην,","Παῦ#λος, ἐ#πεὶ θεῖ#ον σέ#λας οὐ#ρα#νοῦ ἔ#δρα#κεν ἄν#την,",,79,1,distih,DSDDDS,,1F,,,,,1F,3M,5M,,,,1,1,1,3,2,5,,,,,1 2 5 6
Ἀρχιερεὺς Ἐφέσοιο θεηγόρος ἐκ θεοῦ εἶπεν,Ἀρ#χι#ε#ρεὺς Ἐ#φέ#σοι#ο θε#η#γό#ρος ἐκ θε#οῦ εἶ#πεν,,80,1,distih,DDDDDT,,,,,,B,,3M,5F,,,,,1,1,2,5,2,,,,,2 6
Καὶ λαλέοντος ἄκουσε λόγου καὶ πέφραδεν αὐτὸς,Καὶ λα#λέ#ον#τος ἄ#κου#σε λό#γου καὶ πέφ#ρα#δεν αὐ#τὸς,,81,1,distih,DDDSDT,,,,,7M,,1M,3F,5F,7M,,,,1,1,2,1,2,M,,N?,,1 5
Oὐρανίης σοφίης θεοτερπὲς δῶμα κιχήσας,Oὐ#ρα#νί#ης σο#φί#ης θε#ο#τερ#πὲς δῶ#μα κι#χή#σας,,82,1,distih,DDDSDS,,,,5M,,,,3M,5M,,,,,1,,1,2,2,,,N,,5 6
Γράψε θεοῦ σαρκώσιος ἔξοχα θαύματα πάντα,Γρά#ψε θε#οῦ σαρ#κώ#σι#ος ἔ#ξο#χα θαύ#μα#τα πάν#τα,,83,1,hex,DSDDDT,,,,,,,1F,3M,,,,,1,1,1,3,2,,,,,,1 2 3 4 5 6
"Ματθαῖος σελίδεσσιν, ἐπεὶ λίπε δῶμα τελώνου.","Ματ#θαῖ#ος σε#λί#δεσ#σιν, ἐ#πεὶ λί#πε δῶ#μα τε#λώ#νου.",,83,2,hex,SDDDDS,,,,5F,,,,3M,5F,,,,,1,,1,2,3,,,,,4 5 6
Ἀθανάτου βιότοιο τελεσφόρα ἔργματα Χριστοῦ,Ἀ#θα#νά#του βι#ό#τοι#ο τε#λεσ#φό#ρα ἔρ#γμα#τα Χρισ#τοῦ,,84,1,hex,DDDDDS,,,,5F,,,,3M,5F,,,,,1,1,2,4,3,,,,,5
πυκτίου ἐν λαγόνεσσι σαφῶς ἐνέπασσέ γε Λουκᾶς.,πυκ#τί#ου ἐν λα#γό#νεσ#σι σα#φῶς ἐ#νέ#πασ#σέ γε Λου#κᾶς.,,84,2,hex,DDDDDS,,,,5F,,,,,5F,7M,1,,,,1,2,4,3,,,,,4
