Hexameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critical edition*,hyphenation,mans. version,epigrame no.,verse no.,κατὰ στίχον/ elegiac distich,metrical pattern & spondaic hex.,ms. metrical pattern,,syntactic caesura & bucolic diaeresis,,,,metrical caesura,,,,diaereses,,,,,,final word,word before caesura,bridge violations,,,,homodynia
"Ποῖος δ' ἔπλετο χῶρος, ὃς οὐ μάθε σεῖο μενοινὴν","Ποῖ#ος δ' ἔπ#λε#το χῶ#ρος, ὃς οὐ μά#θε σεῖ#ο με#νοι#νὴν",,10,25,hex,SDDDDS,,,,5F,,,,,5F,,1,1,1,1,,4,1,5,,,,,1 2 3 5
εὐσεβίης πλήθουσαν; Ὅλης χθονὸς ἐνναετῆρες,εὐ#σε#βί#ης πλή#θου#σαν; Ὅ#λης χθο#νὸς ἐν#να#ε#τῆ#ρες,,10,26,hex,DSDDDT,,,,5F,,,,3M,5F,,,,,1,,1,2,3,,,,,6
σοὺς καμάτους μέλπουσιν ἀειμνήστους γεγαῶτας.,σοὺς κα#μά#τους μέλ#που#σιν ἀ#ει#μνήσ#τους γε#γα#ῶ#τας.,,10,27,hex,DSDSDT,,,,5F,,,1M,3M,5F,,,,,,,0,2,3,,,,,1 6
Ἔργα γὰρ εὐσεβίης οὐ κρύπτεται· οὐ γὰρ ἀέθλους,Ἔρ#γα γὰρ εὐ#σε#βί#ης οὐ κρύπ#τε#ται· οὐ γὰρ ἀ#έθ#λους,,10,28,hex,DDSDDS,,,,5M,,B,1F,,5M,,1,,1,1,,3,2,"2, 3",,,,,1 4 6
λήθη ἀποσβέννυσιν ἀριστοπόνων ἀρετάων.,λή#θη ἀ#ποσ#βέν#νυ#σιν ἀ#ρισ#το#πό#νων ἀ#ρε#τά#ων.,,10,29,hex,DSDDDS,,,,5F,,,1F,,5F,,,,,,,0,2,3,,,,,1 6
Ὅσσα δὲ σὴ παλάμη θεοπειθέα δώματα τεύχει,Ὅσ#σα δὲ σὴ πα#λά#μη θε#ο#πει#θέ#α δώ#μα#τα τεύ#χει,,10,30,hex,DDDDDS,,,,5M,,,1F,,5M,,1,,,1,1,3,2,2,,,,,1 2 5 6
"οὐδ' αὐτὴ δεδάηκας· ἀμετρήτους γάρ, ὀΐω,","οὐ#δ' αὐ#τὴ δε#δά#η#κας· ἀ#μετ#ρή#τους γάρ, ὀ#ΐ#ω,",,10,31,hex,SDDSDS,,,,5F,,,,3M,5F,,,,,,,0,2,3,,,,,2 6
"μούνη σὺ ξύμπασαν ἀνὰ χθόνα δείμαο ναούς,","μού#νη σὺ ξύμ#πα#σαν ἀ#νὰ χθό#να δεί#μα#ο να#ούς,",,10,32,hex,SSDDDS,,,3M,,,B,,,5F,,1,,,1,1,3,1,"1, 2",,,,,1 2 4 5
οὐρανίου θεράποντας ἀεὶ τρομέουσα θεοῖο.,οὐ#ρα#νί#ου θε#ρά#πον#τας ἀ#εὶ τρο#μέ#ου#σα θε#οῖ#ο.,,10,33,hex,DDDDDT,,,,5F,,,,3M,5F,7M,,,,,,0,5,3,,,,,4 6
Ἴχνεσι δ' εὐκαμάτοισιν ἐφεσπομένη γενετήρων,Ἴχ#νε#σι δ' εὐ#κα#μά#τοι#σιν ἐ#φεσ#πο#μέ#νη γε#νε#τή#ρων,ἴχνευσι δ' εὐκαμάτοισιν ἐφεσπομένη γενετήρων,10,34,hex,DDDDDS,Abacc.DDDDS ,,,5F,,,,,5F,,1,,,,,1,2,3,,,,,1 6
