Iamb,,,,,,,,,,,,
critical edition,hyphenation,manuscript version,epigrame no.,verse no.,metrical pattern,ms. metrical pattern,caesura,word before caesura,long syllabe before caesura,Porson bridge,"paroxyton word, 6th foot",homodynia
,,,,,,,,"oxiton=1, parox.=2, proparox.=3, perisp.=4, properisp.=5",,,,
σκιὰν πέπαυκε τοῦ παλαιτάτου νόμου.,σκι#ὰν πέ#παυ#κε τοῦ πα#λαι#τά#του νό#μου.,,112,2,IIIIII,,5,3,0,,1,1 3
Ὁρώμενος νῦν χερσὶ πρεσβύτου βρέφος,Ὁ#ρώ#με#νος νῦν χερ#σὶ πρεσ#βύ#του βρέ#φος,,113,1,IISIIP,,5,4,1,,1,1
παλαιός ἐστι δημιουργὸς τῶν χρόνων.,πα#λαι#ός ἐσ#τι δη#μι#ουρ#γὸς τῶν χρό#νων.,,113,2,IIIISI,,5,3,0,1,1,5
Προοιμιάζει κοσμικὴν σωτηρίαν,Προ#οι#μι#ά#ζει κοσ#μι#κὴν σω#τη#ρί#αν,,114,1,IISISI,,5,2,1,,1,2 4
εἰπὼν τὸ Χαῖρε ταῖς γυναιξὶ δεσπότης.,εἰ#πὼν τὸ Χαῖ#ρε ταῖς γυ#ναι#ξὶ δεσ#πό#της.,,114,2,SIIIII,,5,5,0,,1,1 2 3
Ἔβλεψε τυφλὸς ἐκ τόκου μεμυσμένος·,Ἔβ#λε#ψε τυφ#λὸς ἐκ τό#κου με#μυσ#μέ#νος·,,117,1,SIIIIP,,5,1,0,,1,
Χριστὸς γὰρ ἦλθεν ἡ πανόμματος χάρις.,Χρισ#τὸς γὰρ ἦλ#θεν ἡ πα#νόμ#μα#τος χά#ρις.,,117,2,SIIIIP,,5,5,0,,1,1 2 4
Ἤγειρεν ἡμῖν τῶν παθῶν τρικυμίαν,Ἤ#γει#ρεν ἡ#μῖν τῶν πα#θῶν τρι#κυ#μί#αν,,118,1,SISIII,,5,4,1,,1,3 4
"ἐχθρὸς κάκιστος πνευματώσας τὸν σάλον,","ἐχ#θρὸς κά#κισ#τος πνευ#μα#τώ#σας τὸν σά#λον,",,118,2,SISISP,,5,3,1,1,1,1 4 5
"ὅθεν ταράσσει, καὶ βυθίζει, καὶ βρέχει","ὅ#θεν τα#ράσ#σει, καὶ βυ#θί#ζει, καὶ βρέ#χει",,118,3,IISISI,,5,2,1,1,1,2 3 4 5
