critical edition,,mans. version,epigramme no.,verse no.,metrical pattern,final word in the first hemistich,,,,,final word in the second hemistich,,,,homodynia,,,,,,,,,,,,
text editat,text editat metric,text manuscris,,,,oxiton,parox.,proparox.,perisp.,properisp.,oxiton,parox.,proparox.,perisp.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
νύμφης ἐξ ἐθνῶν οὕνεκέν ἐστι τύπος.,νύμ#φης ἐξ ἐθ#νῶν οὕ#νε#κέν ἐσ#τι τύ#πος.,,70,2,SS_ ‖ DDÈ,,,,1,,,1,,,_1 3 4,,,,,,,,,,,,
"πρῶτα μὲν ἐκ γαστρός, δεύτερα δ' ἐκ νεκύων.","πρῶ#τα μὲν ἐκ γασ#τρός, δεύ#τε#ρα δ' ἐκ νε#κύ#ων.",,71,2,DS_ ‖ DD_,1,,,,,,1,,,_1 3 4,,,,,,,,,,,,
ἀνθρώπων ζωῆς τῇδε λοεσσόμενον.,ἀν#θρώ#πων ζω#ῆς τῇ#δε λο#εσ#σό#με#νον.,,72,2,SS_ ‖ DDÈ,,,,1,,,,1,,_3 4,,,,,,,,,,,,
οὗτος ὃν εἰσοράᾳς ἐνθάδε χριόμενον.,οὗ#τος ὃν εἰ#σο#ρά#ᾳς ἐν#θά#δε χρι#ό#με#νον.,,73,2,DD_ ‖ DDÈ,,1,,,,,,1,,_1,,,,,,,,,,,,
"ἔσταλται νοέεις, ὄφρα τέλεια βλέποις;","ἔσ#ταλ#ται νο#έ#εις, ὄφ#ρα τέ#λει#α βλέ#ποις;",,74,2,SD_ ‖ DD_,,1,,,,,1,,,_1 4 ,,,,,,,,,,,,
"σῴζει, τὴν ἐθνικήν, ὕδατος ἐγγὺς ἰδών.","σῴ#ζει, τὴν ἐθ#νι#κήν, ὕ#δα#τος ἐγ#γὺς ἰ#δών.",,75,2,SD_ ‖ DD_,1,,,,,1,,,,_1 2 3 4 6,,,,,,,,,,,,
"θαύματος, εἰ Χριστοῦ πνεῦμά σ' ἔχει, νοέεις.","θαύ#μα#τος, εἰ Χρισ#τοῦ πνεῦ#μά σ' ἔ#χει, νο#έ#εις.",,76,2,DS_ ‖ DD_,,,,1,,,1,,,_1 3 4,,,,,,,,,,,,
ἔμπεδον ἡ χήρη οὕνεκα πίστιν ἔχει.,ἔμ#πε#δον ἡ χή#ρη οὕ#νε#κα πίσ#τιν ἔ#χει.,,77,2,DS_ ‖ DD_,,1,,,,,1,,,_1 4 5,,,,,,,,,,,,
ὃς θεοῦ ἐκ φωνῆς ἔλλαχε τοῦτο γέρας.,ὃς θε#οῦ ἐκ φω#νῆς ἔλ#λα#χε τοῦ#το γέ#ρας.,,78,2,DS_ ‖ DDÈ,,,,1,,,1,,,_1 3 4 5,,,,,,,,,,,,
φωτὸς ἀπειρεσίου γαῖαν ἔπλησεν ὅλην.,φω#τὸς ἀ#πει#ρε#σί#ου γαῖ#αν ἔπ#λη#σεν ὅ#λην.,,79,2,DD_ ‖ DD_ ,,1,,,,,1,,,_4,,,,,,,,,,,,
πρῶτος Ἰωάννης ὡς θεὸς ἦν ὁ λόγος.,πρῶ#τος Ἰ#ω#άν#νης ὡς θε#ὸς ἦν ὁ λό#γος.,,80,2,DS_ ‖ DDÈ ,,1,,,,,1,,,_1 5,,,,,,,,,,,,
πρῶτος Ἰωάννης ὡς θεὸς ἦν ὁ λόγος.,πρῶ#τος Ἰ#ω#άν#νης ὡς θε#ὸς ἦν ὁ λό#γος.,,81,2,DS_ ‖ DDÈ,,1,,,,,1,,,_1 5,,,,,,,,,,,,
εἶπεν Ἰωάννης ὡς θεὸς ἦν ὁ λόγος.,εἶ#πεν Ἰ#ω#άν#νης ὡς θε#ὸς ἦν ὁ λό#γος.,,82,2,DS_ ‖ DDÈ,,1,,,,,1,,,_1 5,,,,,,,,,,,,
"ὄρφνη, ἐπεὶ φωνῆς Μάρκου ἔδεκτο φάος.","ὄρ#φνη, ἐ#πεὶ φω#νῆς Μάρ#κου ἔ#δεκ#το φά#ος.",,85,2,DS_ ‖ DDÈ,,,,1,,,1,,,_1 2 3 4,,,,,,,,,,,,
"ἔλλαχεν, ἶσα λαχὼν καὶ τάδε Γρηγορίῳ.","ἔλ#λα#χεν, ἶ#σα λα#χὼν καὶ τά#δε Γρη#γο#ρί#ῳ.",,86,2,DD_ ‖ DD_,1,,,,,,1,,,_1 2 3 4,,,,,,,,,,,,
ἔσχε καὶ ἀτρεκέως μαρτυρίης στεφάνους.,ἔσ#χε καὶ ἀ#τρε#κέ#ως μαρ#τυ#ρί#ης στε#φά#νους.,,87,2,DD_ ‖ DD_,,1,,,,,1,,,_1,,,,,,,,,,,,
εἰς ἔλεον παλάμας ἔσχον ἑτοιμοτάτας.,εἰς ἔ#λε#ον πα#λά#μας ἔσ#χον ἑ#τοι#μο#τά#τας.,,89,2,DD_ ‖ DD_,,1,,,,,1,,,_4,,,,,,,,,,,,
"καὶ τῷ Ἰωάννῃ, μάρτυσι θεσπεσίοις,","καὶ τῷ Ἰ#ω#άν#νῃ, μάρ#τυ#σι θεσ#πε#σί#οις,",,90,2,DS_ ‖ DD_,,1,,,,,1,,,_1 4,,,,,,,,,,,,
βαιὸν ἀμειβόμενος τήνδ' ἀνέθηκε βίβλον.,βαι#ὸν ἀ#μει#βό#με#νος τήν#δ' ἀ#νέ#θη#κε βίβ#λον.,,90,4,DD_ ‖ DDÈ,,,1,,,,1,,,_4,,,,,,,,,,,,
στέψεν Ἰωάννης Χριστοῦ ἐφημοσύναις.,στέ#ψεν Ἰ#ω#άν#νης Χρισ#τοῦ ἐ#φη#μο#σύ#ναις.,,91,2,DS_ ‖ DD_,,1,,,,,1,,,_1,,,,,,,,,,,,
πάντοθεν ὀρνυμένους οὐ τρομέων ἀνέμους.,πάν#το#θεν ὀρ#νυ#μέ#νους οὐ τρο#μέ#ων ἀ#νέ#μους.,,99,2,DD_ ‖ DD_ ,,1,,,,,1,,,_1,,,,,,,,,,,,
ἴχνια ῥιζώσας κίονι διχθαδίῳ·,ἴχ#νι#α ῥι#ζώ#σας κί#ον#ι διχ#θα#δί#ῳ·,,99,4,DS_ ‖ DD_,,1,,,,,1,,,_1 4,,,,,,,,,,,,
υἱέα κηρύσσων μητρὸς ἀπειρογάμου.,υἱ#έ#α κη#ρύσ#σων μητ#ρὸς ἀ#πει#ρο#γά#μου.,,99,6,DS_ ‖DD_ ,,1,,,,,1,,,,,,,,,,,,,,,
εἰς ὀλοὴν ἀπάτην ἐλπίδας ἐκκρεμάσας.,εἰς ὀ#λο#ὴν ἀ#πά#την ἐλ#πί#δας ἐκ#κρε#μά#σας.,,101,2,DD_ ‖ DD_ ,,1,,,,,1,,,_2,,,,,,,,,,,,
ἦλθε δὲ καὶ Χριστοῦ πανσθενέος θεράπων·,ἦλ#θε δὲ καὶ Χρισ#τοῦ παν#σθε#νέ#ος θε#ρά#πων·,,101,4,DS_ ‖ DD_ ,,,,1,,,1,,,_1 2 3,,,,,,,,,,,,
νικηθεὶς νίκην ἤνυσα θειοτέρην.,νι#κη#θεὶς νί#κην ἤ#νυ#σα θει#ο#τέ#ρην.,,101,6,SS_ ‖ DD_ ,,1,,,,,1,,,_2 4,,,,,,,,,,,,
"δῶρ' ἀπὸ κρυστάλλων, δῶρ' ἀπὸ σαρδονύχων.","δῶ#ρ' ἀ#πὸ κρυσ#τάλ#λων, δῶ#ρ' ἀ#πὸ σαρ#δο#νύ#χων.",,116,2,DS_ ‖ DD_ ,,1,,,,,1,,,_1 4,,,,,,,,,,,,
"δῶρ' ἀπὸ κρυστάλλων, δῶρ' ἀπὸ σαρδονύχων. ","δῶ#ρ' ἀ#πὸ κρυσ#τάλ#λων, δῶ#ρ' ἀ#πὸ σαρ#δο#νύ#χων. ",,116,4,DS_ ‖ DD_,,1,,,,,1,,,_1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
